City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
628,Benevento,IT,74.26,overcast clouds,41.2179,14.7464,Bed and breakfast “P’a Carrera”
630,Isangel,VU,72.03,broken clouds,-19.55,169.2667,Tanna Lodge
631,Alberton,CA,68.63,few clouds,46.8168,-64.0654,La Petite France B&B
634,Astoria,US,70.88,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
635,Ningbo,CN,62.1,light rain,29.8782,121.5495,Howard Johnson Plaza Ningbo Hotel
636,Minapasuk,PH,76.86,moderate rain,10.6988,123.3536,Julia Abrigoso Residences
637,Nueva Loja,EC,75.0,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
645,Canavieiras,BR,74.1,overcast clouds,-15.675,-38.9472,Bahiadomizil
646,Pokhara,NP,73.45,broken clouds,28.2333,83.9833,Butterfly Lodge
648,Aberystwyth,GB,64.31,clear sky,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
649,Sola,VU,78.85,overcast clouds,-13.8833,167.55,Leumerus Bungalows
650,Grand Gaube,MU,72.37,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
651,Sal Rei,CV,75.76,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
652,Caravelas,BR,75.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
653,Pskov,RU,62.51,clear sky,57.8136,28.3496,Zolotaya Naberezhnaya
658,Puerto Leguizamo,CO,73.8,overcast clouds,-0.1934,-74.7819,la casona de juancho
660,Nhulunbuy,AU,75.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
661,Kaduna,NG,73.58,moderate rain,10.5222,7.4383,HAMDALA HOTEL
662,Saint-Jean-De-Luz,FR,62.22,overcast clouds,43.3891,-1.6581,La Réserve
